Site	Flock size	Decision-making time (sec)	Homing direction (degrees)
1	2	165.751	31.45
1	5	150.93	41.66
1	10	154.902	62.21
1	20	305.613	27.66
2	2	118.546	9.59
2	5	188.068	-10
2	10	271.48	-20.87
2	20	367.134	-3.33
3	2	43.772	-44.93
3	5	275.723	-38.52
3	10	104.97	137.75
3	20	837.916	6.8
4	2	148.144	110.87
4	5	338.736	137.11
4	10	209.439	3.88
4	20	564.703	-164.06
5	2	31.51	-6.62
5	5	34.148	21
5	10	288.629	-28.15
6	2	81.202	-15.49
6	5	66.321	11.01
6	10	139.894	-32.06
6	20	195.461	-17.97
7	2	217.833	-18.13
7	5	66.583	5.8
7	10	246.12	5.8
7	20	207.454	-26.3
8	2	96.745	-4.77
8	5	184.3	-17.56
8	10	104.054	-12.48
8	20	407.342	-28.33
9	2	33.095	27.68
9	5	455.629	2.51
9	10	107.723	10.25
9	20	583.782	-109.98
10	2	78.178	-5.23
10	5	153.454	50.83
10	10	133.709	44.31
10	20	228.239	25.84
